0x00410517	QLocalServer32
0x0041aab0	
0x0041aab2	
0x0041aab4	
0x0041aab6	
0x0041aab8	
0x0041aaba	
0x0041aabc	
0x0041aabe	Starta InstallShield Wizard
0x0041aaf6	Gör så här:\n    - Stäng alla öppna program\n    - Rensa temp-mappen\n    - Kontrollera din Internetanslutning (Internetbaserade installationsprogram)\n\nFörsök sedan att köra installationsprogrammet igen.
0x0041ac88	Ett fel har uppstått i installationsprogrammet.
0x0041ace8	
0x0041acea	Felkod:  %li
0x0041ad04	&OK
0x0041ad0c	
0x0041ad0e	
0x0041ad10	
0x0041ad12	
0x0041ad14	
0x0041ad16	
0x0041ad18	
0x0041ad20	
0x0041ad22	
0x0041ad24	
0x0041ad26	Mulai InstallShield Wizard
0x0041ad5c	Silakan lakukan hal-hal sebagai berikut:\n    - Tutup apa saja program yang sedang berjalan\n    - Kosongkan folder sementara \n    - Mengecek koneksi Internet Anda (Setup berdasarkan Internet)\n\nKemudian coba jalankan kembali Setup.
0x0041af28	Setup telah menemui kesalahan.
0x0041af66	
0x0041af68	Kode Kesalahan:  %li
0x0041af92	&OK
0x0041af9a	
0x0041af9c	
0x0041af9e	
0x0041afa0	
0x0041afa2	
0x0041afa4	
0x0041afa6	
0x0041afa8	
0x0041afaa	
0x0041afac	
0x0041afae	InstallShield Wizard hasten
0x0041afe6	Egin urrats hauek:\n    - Itxi irekita dituzun programa guztiak\n    - Hustu aldi baterako karpeta\n    - Begiratu Interneteko konexioa ongi dagoen (Interneten oinarritutako instalazioa bada)\n\nOndoren, saiatu Instalazioa berriro exekutatzen.
0x0041b1c4	Instalazioak errorea izan du.
0x0041b200	
0x0041b202	Errore-kodea:  %li
0x0041b228	Ad&os
0x0041b234	
0x0041b236	
0x0041b238	
0x0041b23a	
0x0041b23c	
0x0041b23e	
0x0041b240	
0x0041b248	
0x0041b24a	
0x0041b24c	
0x0041b24e	A iniciar o InstallShield Wizard
0x0041b290	Faça o seguinte:\n    - Feche todos os programas que estão a ser executados\n    - Esvazie a pasta temporária\n    - Verifique a sua ligação à Internet (Instalações baseadas na Internet)\n\nEm seguida, tente executar novamente o programa de instalação.
0x0041b480	O programa de instalação sofreu um erro.
0x0041b4d2	
0x0041b4d4	Código de erro:  %li
0x0041b4fe	&OK
0x0041b506	
0x0041b508	
0x0041b50a	
0x0041b50c	
0x0041b50e	
0x0041b510	
0x0041b512	
0x0041b518	
0x0041b51a	
0x0041b51c	
0x0041b51e	Démarrage d'InstallShield Wizard
0x0041b560	Veuillez effectuer les étapes suivantes :\n    - Fermez tous les programmes ouverts\n    - Supprimez le contenu du dossier temporaire \n    - Vérifiez votre connexion à l'Internet (Paramètres relatifs à l'Internet)\n\nEnsuite, relancez l'installation.
0x0041b74e	Le programme d'installation a rencontré une erreur.
0x0041b7b6	
0x0041b7b8	Code d'erreur :  %li
0x0041b7e2	&OK
0x0041b7ea	
0x0041b7ec	
0x0041b7ee	
0x0041b7f0	
0x0041b7f2	
0x0041b7f4	
0x0041b7f6	
0x0041b7f8	
0x0041b7fa	
0x0041b7fc	
0x0041b7fe	Εκκίνηση InstallShield Wizard
0x0041b83a	Παρακαλούμε προβείτε στις ακόλουθες ενέργειες:\n    - Κλείστε όλα τα προγράμματα\n   - Αδειάστε τον προσωρινό φάκελο\n    - Ελέγξτε τη σύνδεση του Διαδικύου (Εγκαταστάσεις με βάση το Διαδίκτυο)\n\nΤότε προσπαθήστε να εκτελέσετε το πρόγραμμα Εγκατάστασης πάλι.
0x0041ba38	Το πρόγραμμα εγκατάστασης  έχει εντοπίσει ένα σφάλμα.
0x0041baa4	
0x0041baa6	Κωδικός σφάλματος:  %li
0x0041bad6	&OK
0x0041bade	
0x0041bae0	
0x0041bae2	
0x0041bae4	
0x0041bae6	
0x0041bae8	
0x0041baea	
0x0041baf0	
0x0041baf2	
0x0041baf4	
0x0041baf6	InstallShield Wizard Başlıyor
0x0041bb32	Lütfen aşağıdakileri yapın:\n    - Çalışan tüm programları kapatın\n    - Geçici klasörünüzü boşaltın\n    - Internet bağlantınızı denetleyin (Internet tabanlı kurulumlarda)\n\nDaha sonra Kur'u yeniden çalıştırın.
0x0041bcd4	Kur bir hatayla karşılaştı.
0x0041bd0c	
0x0041bd0e	Hata kodu:  %li
0x0041bd2e	&Tamam
0x0041bd3c	
0x0041bd3e	
0x0041bd40	
0x0041bd42	
0x0041bd44	
0x0041bd46	
0x0041bd48	
0xffdff1ac	
0xffdffc00	
0xffdfff50	00000000-0000-0000-0000-000000000000
