0x006708d8	..\Data\MsgDat\
0x00760100	RequestOutfitInformationUnit
0x00760120	ResponseInformationOutfitParty
0x00760140	RequestInformationOutfitParty
0x00760160	ResponseGridInformationOutfit
0x00760180	RequestGridInformationOutfit
0x007601a0	ResponseInformationOutfit
0x007601bc	RequestInformationOutfit
0x007601d8	ResponseInformationPackage
0x007601f4	RequestInformationPackage
0x00760210	ResponseInformationWarehouse
0x00760230	RequestInformationWarehouse
0x0076024c	ResponseInformationUnit
0x00760264	RequestInformationUnit
0x0076027c	ResponseInformationCharacter
0x0076029c	RequestInformationCharacter
0x007602b8	ResponseInformationInstitution
0x007602d8	RequestInformationInstitution
0x007602f8	ResponseInformationBase
0x00760310	RequestInformationBase
0x00760328	ResponseStaticInformationBase
0x00760348	RequestStaticInformationBase
0x00760368	ResponseTacticsGrid
0x0076037c	RequestTacticsGrid
0x00760390	ResponseGridOccupation
0x007603a8	RequestGridOccupation
0x007603c0	ResponseInformationGrid
0x007603d8	RequestInformationGrid
0x007603f0	ResponseStaticInformationGrid
0x00760410	RequestStaticInformationGrid
0x00760430	ResponseStaticInformationGridType
0x00760454	RequestStaticInformationGridType
0x00760478	ResponseStaticInformationArms
0x00760498	RequestStaticInformationArms
0x007604b8	ResponseStaticInformationFighters
0x007604dc	RequestStaticInformationFighters
0x00760500	ResponseStaticInformationUnitTroop
0x00760524	RequestStaticInformationUnitTroop
0x00760548	ResponseStaticInformationUnitShip
0x0076056c	RequestStaticInformationUnitShip
0x00760590	ResponseStaticInformationPowerDistribution
0x007605bc	RequestStaticInformationPowerDistribution
0x007605e8	ResponseStaticInformationCardCommand
0x00760610	RequestStaticInformationCardCommand
0x00760634	ResponseStaticInformationCard
0x00760654	RequestStaticInformationCard
0x00760674	ResponseStaticInformationInstitution
0x0076069c	RequestStaticInformationInstitution
0x007606c0	ResponseTime
0x007606d0	RequestTime
0x007606dc	time=
0x007606e4	_INF:ResponseTime# 
0x007606f8	drivng_energy=
0x00760708	construction_step=
0x0076071c	construction_resource=
0x00760734	construction_cost=
0x00760748	kind=
0x00760750	information[%d]={
0x00760764	_INF:ResponseStaticInformationInstitution# 
0x00760790	command=
0x0076079c	command[%d]={
0x007607ac	achievement=
0x007607c4	secretary=
0x007607d0	pol_commission=
0x007607e0	max_class=
0x007607ec	min_class=
0x007607f8	capacity=
0x00760804	appoint_dismissal=
0x00760818	organization=
0x00760828	type=
0x00760830	_INF:ResponseStaticInformationCard# 
0x00760858	target_outfit=%s,
0x0076086c	target_crown=%s,
0x00760880	target_rank=%s,
0x00760890	_INF:ResponseStaticInformationCardCommand# 
0x007608bc	fillup[16]={
0x007608cc	gun[11]={
0x007608d8	value=
0x007608e0	fillup[20]={
0x007608f0	beam[14]={
0x007608fc	fillup[9]={
0x00760908	shield[11]={
0x00760918	sensor[4]={
0x00760924	warp[2]={
0x00760930	%.3f,
0x00760938	move[11]={
0x00760944	_INF:ResponseStaticInformationPowerDistribution# 
0x00760978	passenger=
0x00760984	repair=
0x0076098c	resource_loadage=
0x007609a0	fighter_num=
0x007609b0	fighter=
0x007609bc	antiaircraft_power=
0x007609d0	missile_consumption=
0x007609e8	missile_angle=%s,
0x007609fc	missile_power=
0x00760a0c	gun_angle=%s,
0x00760a1c	gun_power=
0x00760a28	beam_angle=%s,
0x00760a38	beam_power=
0x00760a44	arms=
0x00760a4c	shield_capacity=
0x00760a60	shield=
0x00760a68	armor_side=
0x00760a74	armor_back=
0x00760a80	armor_front=
0x00760a90	turn=
0x00760a98	speed=
0x00760aa0	navigation=
0x00760aac	searching_evation=
0x00760ac0	searching[11]={
0x00760ad0	searching_range=
0x00760ae4	communication_range=
0x00760afc	crew=
0x00760b04	existence=
0x00760b10	term=
0x00760b18	cost=
0x00760b20	resources=
0x00760b2c	price=
0x00760b34	number=
0x00760b3c	name[%d]={
0x00760b48	model_file=
0x00760b54	category=
0x00760b60	_INF:ResponseStaticInformationUnitShip# 
0x00760b8c	cargo=
0x00760b94	defence=
0x00760ba0	offence=
0x00760bac	practice_cost=
0x00760bbc	practice=
0x00760bc8	_INF:ResponseStaticInformationUnitTroop# 
0x00760bf4	cruising=
0x00760c00	antiship=
0x00760c0c	airbattle=
0x00760c18	_INF:ResponseStaticInformationFighters# 
0x00760c44	hit[8]={
0x00760c50	information[27]={
0x00760c64	_INF:ResponseStaticInformationArms# 
0x00760c8c	fixedstar=
0x00760c98	_INF:ResponseStaticInformationGridType# 
0x00760cc4	buf[%d]={
0x00760cd0	height=
0x00760cd8	width=
0x00760ce0	_INF:ResponseStaticInformationGrid# 
0x00760d08	tactics_state=
0x00760d18	index=
0x00760d20	_INF:ResponseInformationGrid# 
0x00760d40	occupated_grid[%d]={
0x00760d58	_INF:ResponseGridOccupation# 
0x00760d78	tactics_grid[%d]={
0x00760d8c	_INF:ResponseTacticsGrid# 
0x00760da8	diameter=
0x00760db4	revolution_init_angle=
0x00760dcc	revolution_direction=
0x00760de4	revolution_cycle=
0x00760df8	revolution_radius=
0x00760e0c	class_=
0x00760e14	grid=
0x00760e1c	_INF:ResponseStaticInformationBase# 
0x00760e44	cannon_start=
0x00760e54	cannon_angle=
0x00760e64	armor=
0x00760e6c	habitability=
0x00760e7c	atomosphere=
0x00760e8c	availability_ratio=
0x00760ea0	commodity[%d]={
0x00760eb0	living=
0x00760eb8	food=
0x00760ec0	religion=
0x00760ecc	thought=
0x00760ed8	peace=
0x00760ee0	approval=
0x00760eec	budget[%d]={
0x00760efc	budgeting[%d]={
0x00760f14	adult_population=
0x00760f28	population=
0x00760f34	defence_supplies=
0x00760f48	ground_supplies=
0x00760f5c	patrol_supplies=
0x00760f70	transport_supplies[%d]={
0x00760f8c	outfit_supplies[%d]={
0x00760fa4	supplies=
0x00760fb0	antiaircraft=
0x00760fc0	price_index=
0x00760fd0	defense_outfit=
0x00760fe0	_INF:ResponseInformationBase# 
0x00761000	file=
0x00761008	spot[%d]={
0x00761014	institution[%d]={
0x00761028	base=
0x00761030	_INF:ResponseInformationInstitution# 
0x00761058	together=
0x00761064	card[%d]={
0x00761070	special_ability[%d]={
0x00761088	stamina=
0x00761094	influence=
0x007610a0	experience=
0x007610ac	point=
0x007610b4	myhome=
0x007610bc	rival=
0x007610c4	truth=
0x007610cc	parentage[%d]={
0x007610dc	arrested=
0x007610e8	decoration=%s,
0x007610f8	money=
0x00761100	online=
0x00761108	ai_tactics=
0x00761114	ai_announcement=
0x00761128	ai_suggested=
0x00761138	ai_commanded=
0x00761148	ai_strategy=
0x00761158	ai_operation=
0x00761168	sendmail=
0x00761174	evaluation=
0x00761190	coup=
0x00761198	coup_conduct=
0x007611a8	strategy=
0x007611b4	flagship=
0x007611c0	spot_owner=
0x007611cc	spot=
0x007611d4	return_base=
0x007611e4	max_of_special=
0x007611f4	begin_session_age=
0x00761208	_INF:ResponseInformationCharacter# 
0x0076122c	mobilization=
0x0076123c	destroyed=
0x00761248	damaged=
0x00761254	rebellion=
0x00761260	morale_max=
0x0076126c	troop_units[%d]={
0x00761280	boarding_ship=
0x00761290	outfit=
0x00761298	mode=
0x007612a0	_INF:ResponseInformationUnit# 
0x007612c0	mineral=
0x007612cc	troop_grade=
0x007612dc	troops[%d]={
0x007612ec	boat_number=
0x007612fc	unit_number=
0x0076130c	ships[%d]={
0x00761318	_INF:ResponseInformationWarehouse# 
0x0076133c	troop_package[%d]={
0x00761350	package_number=
0x00761360	unit_kind=
0x0076136c	other_package[%d]={
0x00761380	target_base=
0x00761390	_INF:ResponseInformationPackage# 
0x007613b4	practice_airbattle=
0x007613c8	practice_landbattle=
0x007613e0	practice_deception=
0x007613f4	practice_search=
0x00761408	practice_antiaircraft=
0x00761420	practice_defence=
0x00761434	practice_offence=
0x00761448	practice_command=
0x0076145c	practice_speed=
0x0076146c	practice_warp=
0x0076147c	strategy_id=
0x0076148c	_INF:ResponseInformationOutfit# 
0x007614b0	_INF:ResponseGridInformationOutfit# 
0x007614d8	not_together_troops[%d]={
0x007614f4	not_together_ships[%d]={
0x00761510	carrying=
0x0076151c	troop_transport_package_empty_size=
0x00761540	transport_package_empty_size=
0x00761560	troop_packages[%d]={
0x00761578	other_packages[%d]={
0x00761590	package=
0x0076159c	max_supplies=
0x007615ac	units[%d]={
0x007615b8	characters[%d]={
0x007615cc	_INF:ResponseInformationOutfitParty# 
0x007615f4	_INF:ResponseOutfitInformationUnit# 
0x0076161c	_INF:ResponseInformationOutfitTransport# 
0x00761648	_INF:ResponseInformationOutfitCrew# 
0x00761670	character[%d]={
0x00761680	_INF:ResponseTacticsCharacter# 
0x007616a0	unit[%d]={
0x007616ac	_INF:ResponseTacticsUnitShip# 
0x007616cc	search=
0x007616d4	detachment_direction=
0x007616ec	detachment_leader=
0x00761700	direction=
0x00761718	character=
0x00761724	confusion=
0x00761730	morale=
0x00761738	_INF:ResponseTacticsInformationUnitShip# 
0x00761764	_INF:ResponseTacticsInformationUnitTroop# 
0x00761790	damaged_shield[6]={
0x007617a4	fill_shield[6]={
0x007617b8	fill_gun=
0x007617c4	fill_beam=
0x007617d0	power_shield[6]={
0x007617e4	power_gun=
0x007617f0	power_beam=
0x007617fc	power_sensor=
0x0076180c	power_warp=
0x00761818	power_move=
0x00761824	tactics_chief=
0x00761834	command_range=
0x00761844	target=
0x0076184c	target_kind=
0x0076185c	mission=
0x00761868	_INF:ResponseTacticsInformationCorps# 
0x00761890	shield_step[6]={
0x007618a4	next_time[6]={
0x007618b4	unit=
0x007618bc	_INF:ResponseTacticsInformationFillShield# 
0x007618e8	gun_next_time=
0x007618f8	beam_next_time=
0x00761908	_INF:ResponseTacticsInformationFillBeamGun# 
0x00761938	_INF:ResponseTacticsInformationBase# 
0x00761960	circle[%d]={
0x00761970	gravity_down_range=
0x00761984	gravity_up_range=
0x00761998	abnormalgravity[%d]={
0x007619b0	gascloud[%d]={
0x007619c0	range=
0x007619c8	asteroidbelt[%d]={
0x007619dc	radius=
0x007619e4	max_suction_speed=
0x007619f8	blackhole[%d]={
0x00761a08	_INF:ResponseInformationObstacle# 
0x00761a2c	position[%d]={
0x00761a3c	_INF:ResponsePositionUnit# 
0x00761a58	_INF:ResponsePositionBase# 
0x00761a74	_INF:ResponseAllCharacter# 
0x00761a90	card=
0x00761a98	_INF:ResponseCardCharacter# 
0x00761ab8	total_adult_population=
0x00761ad0	total_population=
0x00761ae4	_INF:ResponseTotalPopulation# 
0x00761b0c	unit_num=
0x00761b18	outfit_category=
0x00761b2c	_INF:ResponseInformationStrategyPlan# 
0x00761b54	[Output_SimpleInformationBase::get_length] name_size[%d] is over than 13.\n
0x00761ba0	[Output_SimpleInformationOutfit::get_length] base_size[%d] is over than 1.\n
0x00761bec	[Output_SimpleInformationBase::output_to_stream] name_size[%d] is over than 13.\n
0x00761c40	[Output_SimpleInformationOutfit::output_to_stream] base_size[%d] is over than 1.\n
0x00761c94	card_kind=
0x00761ca0	charged_base[%d]={
0x00761cb4	grid_index=
0x00761cc0	base[%d]={
0x00761ccc	outfit[%d]={
0x00761cdc	_INF:ResponseInformationDisplayCharacter# 
0x00761d08	_INF:NotifyInformationCharacter# 
0x00761d2c	_INF:NotifyAIOperation# 
0x00761d48	_INF:NotifyChangeFlagShip# 
0x00761d64	_INF:NotifyInformationOutfit# 
0x00761d84	troop_num=
0x00761d90	ship_num=
0x00761d9c	fortress_num=
0x00761dac	planet_num=
0x00761db8	empire_place=
0x00761dc8	coup_eliminated=
0x00761ddc	huge_potential=
0x00761dec	population_occupated=
0x00761e04	win_type=
0x00761e10	super_man_card=
0x00761e20	super_man[%d]={
0x00761e30	base_num=
0x00761e3c	character_num=
0x00761e4c	start_year=
0x00761e58	power[2]={
0x00761e64	game_clock=
0x00761e70	begin_day[%d]={
0x00761e80	session_name[%d]={
0x00761e94	_INF:NotifyEnding# 
0x00761ea8	_INF:RequestTime# 
0x00761ebc	_INF:RequestStaticInformationInstitution# 
0x00761ee8	_INF:RequestStaticInformationCard# 
0x00761f0c	_INF:RequestStaticInformationCardCommand# 
0x00761f38	_INF:RequestStaticInformationPowerDistribution# 
0x00761f6c	_INF:RequestStaticInformationUnitShip# 
0x00761f94	_INF:RequestStaticInformationUnitTroop# 
0x00761fc0	_INF:RequestStaticInformationFighters# 
0x00761fe8	_INF:RequestStaticInformationArms# 
0x0076200c	_INF:RequestStaticInformationGridType# 
0x00762034	_INF:RequestStaticInformationGrid# 
0x00762058	_INF:RequestInformationGrid# 
0x00762078	_INF:RequestGridOccupation# 
0x00762098	_INF:RequestTacticsGrid# 
0x007620b4	_INF:RequestStaticInformationBase# 
0x007620d8	_INF:RequestInformationBase# 
0x007620f8	_INF:RequestInformationInstitution# 
0x00762120	_INF:RequestInformationCharacter# 
0x00762144	_INF:RequestInformationUnit# 
0x00762164	_INF:RequestInformationWarehouse# 
0x00762188	_INF:RequestInformationPackage# 
0x007621ac	_INF:RequestInformationOutfit# 
0x007621cc	_INF:RequestGridInformationOutfit# 
0x007621f0	_INF:RequestInformationOutfitParty# 
0x00762218	_INF:RequestOutfitInformationUnit# 
0x0076223c	_INF:RequestInformationOutfitTransport# 
0x00762268	_INF:RequestInformationOutfitCrew# 
0x0076228c	_INF:RequestTacticsCharacter# 
0x007622ac	_INF:RequestTacticsUnitShip# 
0x007622cc	_INF:RequestTacticsInformationUnitShip# 
0x007622f8	_INF:RequestTacticsInformationUnitTroop# 
0x00762324	_INF:RequestTacticsInformationCorps# 
0x0076234c	_INF:RequestTacticsInformationFillShield# 
0x00762378	_INF:RequestTacticsInformationFillBeamGun# 
0x007623a4	_INF:RequestTacticsInformationBase# 
0x007623cc	_INF:RequestInformationObstacle# 
0x007623f0	_INF:RequestPositionUnit# 
0x0076240c	_INF:RequestPositionBase# 
0x00762428	_INF:RequestAllCharacter# 
0x00762444	_INF:RequestCardCharacter# 
0x00762460	_INF:RequestTotalPopulation# 
0x00762480	_INF:RequestInformationStrategyPlan# 
0x007624a8	_INF:RequestInformationDisplayCharacter# 
0x007624d4	[Output_RequestInformationBase::get_length] id_size[%d] is over than 4.\n
0x00762520	[Output_RequestInformationBase::output_to_stream] id_size[%d] is over than 4.\n
0x00762570	[Output_RequestInformationInstitution::get_length] id_size[%d] is over than 4.\n
0x007625c0	[Output_RequestInformationInstitution::output_to_stream] id_size[%d] is over than 4.\n
0x00762618	[Output_RequestInformationUnit::get_length] id_size[%d] is over than 600.\n
0x00762664	[Output_RequestInformationUnit::output_to_stream] id_size[%d] is over than 600.\n
0x007626b8	[Output_RequestInformationOutfit::get_length] id_size[%d] is over than 100.\n
0x00762708	[Output_RequestInformationOutfit::output_to_stream] id_size[%d] is over than 100.\n
0x0076275c	[Output_RequestTacticsInformationUnitShip::get_length] id_size[%d] is over than 600.\n
0x007627b4	[Output_RequestTacticsInformationUnitShip::output_to_stream] id_size[%d] is over than 600.\n
0x00762810	[Output_RequestTacticsInformationUnitTroop::get_length] id_size[%d] is over than 600.\n
0x00762868	[Output_RequestTacticsInformationUnitTroop::output_to_stream] id_size[%d] is over than 600.\n
0x007628c8	[Output_RequestTacticsInformationCorps::get_length] id_size[%d] is over than 600.\n
0x0076291c	[Output_RequestTacticsInformationCorps::output_to_stream] id_size[%d] is over than 600.\n
0x00762978	[Output_RequestTacticsInformationFillShield::get_length] id_size[%d] is over than 600.\n
0x007629d0	[Output_RequestTacticsInformationFillShield::output_to_stream] id_size[%d] is over than 600.\n
0x00762a30	[Output_RequestTacticsInformationFillBeamGun::get_length] id_size[%d] is over than 600.\n
0x00762a8c	[Output_RequestTacticsInformationFillBeamGun::output_to_stream] id_size[%d] is over than 600.\n
0x00762aec	[Output_RequestTacticsInformationBase::get_length] id_size[%d] is over than 16.\n
0x00762b40	[Output_RequestTacticsInformationBase::output_to_stream] id_size[%d] is over than 16.\n
0x00762b98	[Output_RequestPositionUnit::get_length] id_size[%d] is over than 600.\n
0x00762be0	[Output_RequestPositionUnit::output_to_stream] id_size[%d] is over than 600.\n
0x00762c30	[Output_RequestPositionBase::get_length] id_size[%d] is over than 4.\n
0x00762c78	[Output_RequestPositionBase::output_to_stream] id_size[%d] is over than 4.\n
0x00762cc4	[Input_ResponseStaticInformationInstitution::input_from_stream] information_size[%d] is over than 120.\n
0x00762d2c	[Input_StaticInformationCard::input_from_stream] command_size[%d] is over than 24.\n
0x00762d80	[Input_ResponseStaticInformationCard::input_from_stream] information_size[%d] is over than 300.\n
0x00762de4	[Input_StaticInformationCardCommand::input_from_stream] command_size[%d] is over than 24.\n
0x00762e40	[Input_ResponseStaticInformationCardCommand::input_from_stream] information_size[%d] is over than 300.\n
0x00762ea8	[Input_StaticInformationUnitShip::input_from_stream] name_size[%d] is over than 13.\n
0x00762f00	[Input_ResponseStaticInformationUnitShip::input_from_stream] information_size[%d] is over than 200.\n
0x00762f68	[Input_ResponseStaticInformationUnitTroop::input_from_stream] information_size[%d] is over than 16.\n
0x00762fd0	[Input_ResponseStaticInformationFighters::input_from_stream] information_size[%d] is over than 4.\n
0x00763034	[Input_ResponseStaticInformationGridType::input_from_stream] information_size[%d] is over than 100.\n
0x0076309c	[Input_StaticInformationGrid::input_from_stream] buf_size[%d] is over than 5000.\n
0x007630f0	[Input_ResponseGridOccupation::input_from_stream] occupated_grid_size[%d] is over than 100.\n
0x00763150	[Input_ResponseTacticsGrid::input_from_stream] tactics_grid_size[%d] is over than 1000.\n
0x007631ac	[Input_StaticInformationBase::input_from_stream] name_size[%d] is over than 13.\n
0x00763200	[Input_ResponseStaticInformationBase::input_from_stream] information_size[%d] is over than 350.\n
0x00763264	[Input_InformationBase::input_from_stream] commodity_size[%d] is over than 3.\n
0x007632b4	[Input_InformationBase::input_from_stream] budget_size[%d] is over than 5.\n
0x00763300	[Input_InformationBase::input_from_stream] budgeting_size[%d] is over than 6.\n
0x00763350	[Input_InformationBase::input_from_stream] transport_supplies_size[%d] is over than 30.\n
0x007633ac	[Input_InformationBase::input_from_stream] outfit_supplies_size[%d] is over than 30.\n
0x00763404	[Input_ResponseInformationBase::input_from_stream] information_size[%d] is over than 4.\n
0x00763460	[Input_Institution::input_from_stream] spot_size[%d] is over than 20.\n
0x007634a8	[Input_InformationInstitution::input_from_stream] institution_size[%d] is over than 36.\n
0x00763504	[Input_ResponseInformationInstitution::input_from_stream] information_size[%d] is over than 4.\n
0x00763564	[Input_InformationCharacter::input_from_stream] card_size[%d] is over than 16.\n
0x007635b4	[Input_Parentage::input_from_stream] titlename_size[%d] is over than 13.\n
0x00763600	[Input_Parentage::input_from_stream] display_name_size[%d] is over than 13.\n
0x00763650	[Input_Parentage::input_from_stream] firstname_size[%d] is over than 13.\n
0x0076369c	[Input_Parentage::input_from_stream] lastname_size[%d] is over than 13.\n
0x007636e8	[Input_InformationCharacter::input_from_stream] special_ability_size[%d] is over than 80.\n
0x00763744	[Input_InformationCharacter::input_from_stream] parentage_size[%d] is over than 2.\n
0x00763798	[Input_InformationCharacter::input_from_stream] flagship_name_size[%d] is over than 13.\n
0x007637f4	[Input_InformationUnit::input_from_stream] troop_units_size[%d] is over than 10.\n
0x00763848	[Input_ResponseInformationUnit::input_from_stream] information_size[%d] is over than 600.\n
0x007638a4	[Input_ResponseInformationWarehouse::input_from_stream] troops_size[%d] is over than 24.\n
0x00763900	[Input_ResponseInformationWarehouse::input_from_stream] ships_size[%d] is over than 99.\n
0x0076395c	[Input_ResponseInformationPackage::input_from_stream] troop_package_size[%d] is over than 24.\n
0x007639bc	[Input_ResponseInformationPackage::input_from_stream] other_package_size[%d] is over than 3.\n
0x00763a1c	[Input_ResponseInformationOutfit::input_from_stream] information_size[%d] is over than 100.\n
0x00763a7c	[Input_ResponseGridInformationOutfit::input_from_stream] information_size[%d] is over than 300.\n
0x00763ae0	[Input_ResponseInformationOutfitParty::input_from_stream] not_together_troops_size[%d] is over than 24.\n
0x00763b4c	[Input_ResponseInformationOutfitParty::input_from_stream] not_together_ships_size[%d] is over than 60.\n
0x00763bb4	[Input_ResponseInformationOutfitParty::input_from_stream] troop_packages_size[%d] is over than 24.\n
0x00763c18	[Input_ResponseInformationOutfitParty::input_from_stream] other_packages_size[%d] is over than 3.\n
0x00763c7c	[Input_InformationOutfitShip::input_from_stream] units_size[%d] is over than 70.\n
0x00763cd0	[Input_ResponseInformationOutfitParty::input_from_stream] troops_size[%d] is over than 24.\n
0x00763d2c	[Input_InformationOutfitCharacter::input_from_stream] display_name_size[%d] is over than 13.\n
0x00763d8c	[Input_ResponseInformationOutfitParty::input_from_stream] ships_size[%d] is over than 60.\n
0x00763de8	[Input_ResponseInformationOutfitParty::input_from_stream] characters_size[%d] is over than 10.\n
0x00763e48	[Input_ResponseOutfitInformationUnit::input_from_stream] information_size[%d] is over than 70.\n
0x00763ea8	[Input_ResponseInformationOutfitTransport::input_from_stream] information_size[%d] is over than 3.\n
0x00763f0c	[Input_ResponseInformationOutfitCrew::input_from_stream] information_size[%d] is over than 720.\n
0x00763f70	[Input_ResponseTacticsCharacter::input_from_stream] character_size[%d] is over than 600.\n
0x00763fcc	[Input_ResponseTacticsUnitShip::input_from_stream] unit_size[%d] is over than 600.\n
0x00764020	[Input_ResponseTacticsInformationUnitShip::input_from_stream] information_size[%d] is over than 600.\n
0x00764088	[Input_ResponseTacticsInformationUnitTroop::input_from_stream] information_size[%d] is over than 600.\n
0x007640f0	[Input_ResponseTacticsInformationCorps::input_from_stream] information_size[%d] is over than 600.\n
0x00764154	[Input_ResponseTacticsInformationFillShield::input_from_stream] information_size[%d] is over than 600.\n
0x007641bc	[Input_ResponseTacticsInformationFillBeamGun::input_from_stream] information_size[%d] is over than 600.\n
0x00764228	[Input_ResponseTacticsInformationBase::input_from_stream] information_size[%d] is over than 16.\n
0x0076428c	[Input_InformationObstacle::input_from_stream] circle_size[%d] is over than 5.\n
0x007642dc	[Input_InformationObstacle::input_from_stream] abnormalgravity_size[%d] is over than 1.\n
0x00764338	[Input_InformationObstacle::input_from_stream] gascloud_size[%d] is over than 10.\n
0x0076438c	[Input_InformationObstacle::input_from_stream] asteroidbelt_size[%d] is over than 1.\n
0x007643e4	[Input_InformationObstacle::input_from_stream] blackhole_size[%d] is over than 1.\n
0x00764438	[Input_ResponsePositionUnit::input_from_stream] position_size[%d] is over than 600.\n
0x00764490	[Input_ResponsePositionBase::input_from_stream] position_size[%d] is over than 4.\n
0x007644e4	[Input_ResponseAllCharacter::input_from_stream] id_size[%d] is over than 2000.\n
0x00764534	[Input_ResponseCardCharacter::input_from_stream] character_size[%d] is over than 64.\n
0x0076458c	[Input_SimpleInformationBase::input_from_stream] name_size[%d] is over than 13.\n
0x007645e0	[Input_SimpleInformationOutfit::input_from_stream] base_size[%d] is over than 1.\n
0x00764634	[Input_InformationDisplayCharacter::input_from_stream] charged_base_size[%d] is over than 5.\n
0x00764694	[Input_InformationDisplayCharacter::input_from_stream] outfit_size[%d] is over than 1.\n
0x007646ec	[Input_InformationDisplayCharacter::input_from_stream] card_size[%d] is over than 16.\n
0x00764744	[Input_InformationDisplayCharacter::input_from_stream] titlename_size[%d] is over than 13.\n
0x007647a0	[Input_InformationDisplayCharacter::input_from_stream] flagship_name_size[%d] is over than 13.\n
0x00764800	[Input_InformationDisplayCharacter::input_from_stream] display_name_size[%d] is over than 13.\n
0x00764860	[Input_InformationSessionPowerEnding::input_from_stream] super_man_size[%d] is over than 13.\n
0x007648c0	[Input_InformationSessionPower::input_from_stream] ending_size[%d] is over than 1.\n
0x00764914	[Input_InformationSession::input_from_stream] ending_size[%d] is over than 1.\n
0x00764964	[Input_InformationSession::input_from_stream] begin_day_size[%d] is over than 65.\n
0x007649b8	[Input_InformationSession::input_from_stream] session_name_size[%d] is over than 13.\n
0x00764a88	NotifyInstitutionBuild
0x00764aa0	NotifyBaseParameter
0x00764ab4	NotifyCollectionSoldier
0x00764acc	CommandChangeBaseMessage
0x00764ae8	CommandEngineBuild
0x00764afc	CommandBaseSearch
0x00764b10	CommandChangeBudgetRate
0x00764b28	CommandCollectionSoldier
0x00764b44	CommandInstitutionBuildShipStop
0x00764b64	CommandInstitutionBuildShip
0x00764b80	CommandInstitutionDestroy
0x00764b9c	CommandInstitutionReOperation
0x00764bbc	CommandInstitutionPause
0x00764bd4	CommandInstitutionBuild
0x00764bec	CommandChangeTaxRate
0x00764c04	result=
0x00764c0c	tax_rate=
0x00764c18	_INF:CommandChangeTaxRate# 
0x00764c34	country_supplies=
0x00764c48	country_budget=
0x00764c58	institution=
0x00764c68	_INF:CommandInstitutionBuild# 
0x00764c88	_INF:CommandInstitutionPause# 
0x00764ca8	_INF:CommandInstitutionReOperation# 
0x00764cd0	_INF:CommandInstitutionDestroy# 
0x00764cf4	ship_kind=
0x00764d00	_INF:CommandInstitutionBuildShip# 
0x00764d24	_INF:CommandInstitutionBuildShipStop# 
0x00764d4c	wait=
0x00764d54	_INF:CommandCollectionSoldier# 
0x00764d74	[Output_CommandBaseSearch::get_length] commodity_size[%d] is over than 3.\n
0x00764dc0	[Output_CommandBaseSearch::output_to_stream] commodity_size[%d] is over than 3.\n
0x00764e14	_INF:CommandBaseSearch# 
0x00764e30	engine=
0x00764e38	_INF:CommandEngineBuild# 
0x00764e54	[Output_CommandChangeBaseMessage::get_length] message_size[%d] is over than 51.\n
0x00764ea8	[Output_CommandChangeBaseMessage::output_to_stream] message_size[%d] is over than 51.\n
0x00764f00	message[%d]={
0x00764f10	_INF:CommandChangeBaseMessage# 
0x00764f30	_INF:NotifyCollectionSoldier# 
0x00764f50	energy=
0x00764f58	_INF:NotifyBaseParameter# 
0x00764f74	_INF:NotifyInstitutionBuild# 
0x00764f94	[Input_CommandBaseSearch::input_from_stream] commodity_size[%d] is over than 3.\n
0x00764fe8	[Input_CommandChangeBaseMessage::input_from_stream] message_size[%d] is over than 51.\n
0x00765040	[Input_NotifyBaseParameter::input_from_stream] budget_size[%d] is over than 6.\n
0x007650a0	NotifyError
0x007650ac	NotifyInvalidMessage
0x007650c4	msg[%d]={
0x007650d0	error=
0x007650d8	_INF:NotifyInvalidMessage# 
0x007650f4	error_msg[%d]={
0x00765104	_INF:NotifyError# 
0x00765118	[Input_NotifyInvalidMessage::input_from_stream] msg_size[%d] is over than 128.\n
0x00765168	[Input_NotifyError::input_from_stream] error_msg_size[%d] is over than 128.\n
0x00765218	NotifyCardLossMovedSpot
0x00765230	NotifyCardLoss
0x00765240	CommandCardResignation
0x00765258	CommandCardDismisal
0x0076526c	CommandCardAppointment
0x00765284	CommandRankDown
0x00765294	CommandSpeciallyRankUp
0x007652ac	CommandRankUp
0x007652bc	ResponseInformationEmptySeat
0x007652dc	RequestInformationEmptySeat
0x007652f8	ResponseInformationRankUp
0x00765314	RequestInformationRankUp
0x00765330	_INF:RequestInformationRankUp# 
0x00765350	[Output_RequestInformationEmptySeat::get_length] ranks_size[%d] is over than 21.\n
0x007653a4	[Output_RequestInformationEmptySeat::output_to_stream] ranks_size[%d] is over than 21.\n
0x007653fc	ranks[%d]={
0x00765408	_INF:RequestInformationEmptySeat# 
0x0076542c	[Output_CommandRankUp::get_length] move_character_size[%d] is over than 32.\n
0x0076547c	[Output_CommandRankUp::output_to_stream] move_character_size[%d] is over than 32.\n
0x007654d0	move_character[%d]={
0x007654e8	move_spot=
0x007654f4	rankchanged_character_achievement=
0x00765518	target_rank=
0x00765528	_INF:CommandRankUp# 
0x00765540	[Output_CommandSpeciallyRankUp::get_length] move_character_size[%d] is over than 32.\n
0x00765598	[Output_CommandSpeciallyRankUp::get_length] down_achievement_character_size[%d] is over than 2000.\n
0x007655fc	[Output_CommandSpeciallyRankUp::output_to_stream] move_character_size[%d] is over than 32.\n
0x00765658	[Output_CommandSpeciallyRankUp::output_to_stream] down_achievement_character_size[%d] is over than 2000.\n
0x007656c4	down_achievement_character[%d]={
